S_NUMBER,BP_NUMBER,MODEL,E_TYPE,NAME,STATUS,DOMAIN,PROVIDER,IP,MAC_ADDRESS,MONITOR_TYPE,DETAIL1,DETAIL2,DETAIL3
SN00111NULL,BP00176NULL,ProDesk,DESKTOPS,WKS064-257AR,BACKUP,MerloTyres,PIRELLI,,,NAME,COMPUESTOS,GUARDIA COMP 1 REEMPLAZO,
SN00112NULL,BP00178NULL,ProDesk,DESKTOPS,7WK064-89AR,MAINTENANCE,MerloTyres,PIRELLI,,,NAME,CONTROL VISIVO,BALAZA,SUPLENTE
SN00113NULL,BP00179NULL,ProDesk,DESKTOPS,7WK064-451AR,MAINTENANCE,MerloTyres,PIRELLI,,,NAME,CONTROL VISIVO,BALANZA,TITULAR
SN00114NULL,BP00180NULL,ProDesk,DESKTOPS,WKS064-402AR,MAINTENANCE,MerloTyres,PIRELLI,,,NAME,ARMADO,TR10-3,CF2
SN00115NULL,BP00181NULL,D13S,DESKTOPS,7WK064-303AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,SEMIELABORADOS,CAPITANO,
SN00116NULL,P901612,Zebra GC420,IMPRESORA,GC420-6+6,ACTIVE,MerloTyres,PIRELLI,,,NAME,6+6,GC420-6+6,IMPRESORA
SN00117NULL,P901619,ZEBRA GK420t,IMPRESORA,GK420T-BIMZ,ACTIVE,MerloTyres,PIRELLI,,,NAME,TALONES,GK420T-BIMZ,IMPRESORA
SN00118NULL,BP00198NULL,PPC-5150AA,PANEL,7WK064-122AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,COMPUESTOS,BANBURY4,BY
SN00119NULL,BP00199NULL,Vostro,DESKTOPS,WKS064-18AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,COMPUESTOS,BY4 PCL,
SN00120NULL,BP00200NULL,ProDesk,DESKTOPS,WKS064-90AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,TALONES,GESTORES,
SN00121NULL,N13,ZEBRA GK420t,IMPRESORA,GK420T-D70-2F,BACKUP,MerloTyres,PIRELLI,,,NAME,CONTROL FINAL,GK420T-D70-2F,
SN00122NULL,BP00214NULL,3080,DESKTOPS,WKS064-429AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,CONTROL FINAL,JAULA,
SN00123NULL,BP00215NULL,ProDesk,DESKTOPS,7WK064-451AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,CONTROL VISIVO,BALANZA CONTROL VISIVO,
SN00124NULL,BP00216NULL,ProDesk,DESKTOPS,7WK064-392AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,GUARDIA BY,PC BY,
SN00125NULL,P901509,ProDesk,DESKTOPS,WKS064-451AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,SEMIELABORADOS,CALANDRA METALICA ,2
